file,line,class,method,owner,message
idaes/models/properties/modular_properties/eos/eos_base.py,273,EoSBase,entr_mol_phase_comp,EoSBase.entr_mol_phase_comp,"NotImplementedError(_msg(b, 'entr_mol_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,277,EoSBase,fug_phase_comp,EoSBase.fug_phase_comp,"NotImplementedError(_msg(b, 'fug_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,281,EoSBase,fug_phase_comp_eq,EoSBase.fug_phase_comp_eq,"NotImplementedError(_msg(b, 'fug_phase_comp_eq'))"
idaes/models/properties/modular_properties/eos/eos_base.py,285,EoSBase,log_fug_phase_comp_eq,EoSBase.log_fug_phase_comp_eq,"NotImplementedError(_msg(b, 'log_fug_phase_comp_eq'))"
idaes/models/properties/modular_properties/eos/eos_base.py,289,EoSBase,fug_coeff_phase_comp,EoSBase.fug_coeff_phase_comp,"NotImplementedError(_msg(b, 'fug_coeff_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,293,EoSBase,fug_coeff_phase_comp_eq,EoSBase.fug_coeff_phase_comp_eq,"NotImplementedError(_msg(b, 'fug_coeff_phase_comp_eq'))"
idaes/models/properties/modular_properties/eos/eos_base.py,297,EoSBase,fug_phase_comp_Tbub,EoSBase.fug_phase_comp_Tbub,"NotImplementedError(_msg(b, 'fug_phase_comp_Tbub'))"
idaes/models/properties/modular_properties/eos/eos_base.py,301,EoSBase,fug_phase_comp_Tdew,EoSBase.fug_phase_comp_Tdew,"NotImplementedError(_msg(b, 'fug_phase_comp_Tdew'))"
idaes/models/properties/modular_properties/eos/eos_base.py,305,EoSBase,fug_phase_comp_Pbub,EoSBase.fug_phase_comp_Pbub,"NotImplementedError(_msg(b, 'fug_phase_comp_Pbub'))"
idaes/models/properties/modular_properties/eos/eos_base.py,309,EoSBase,fug_phase_comp_Pdew,EoSBase.fug_phase_comp_Pdew,"NotImplementedError(_msg(b, 'fug_phase_comp_Pdew'))"
idaes/models/properties/modular_properties/eos/eos_base.py,313,EoSBase,gibbs_mol_phase,EoSBase.gibbs_mol_phase,"NotImplementedError(_msg(b, 'gibbs_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,317,EoSBase,gibbs_mol_phase_comp,EoSBase.gibbs_mol_phase_comp,"NotImplementedError(_msg(b, 'gibbs_mol_phase_comp'))"
idaes/models/properties/modular_properties/eos/eos_base.py,321,EoSBase,isentropic_speed_sound_phase,EoSBase.isentropic_speed_sound_phase,"NotImplementedError(_msg(b, 'isentropic_speed_sound_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,325,EoSBase,isothermal_speed_sound_phase,EoSBase.isothermal_speed_sound_phase,"NotImplementedError(_msg(b, 'isothermal_speed_sound_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,328,EoSBase,pressure_osm_phase,EoSBase.pressure_osm_phase,"NotImplementedError(_msg(b, 'pressure_osm_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,332,EoSBase,vol_mol_phase,EoSBase.vol_mol_phase,"NotImplementedError(_msg(b, 'vol_mol_phase'))"
idaes/models/properties/modular_properties/eos/eos_base.py,336,EoSBase,vol_mol_phase_comp,EoSBase.vol_mol_phase_comp,"NotImplementedError(_msg(b, 'vol_mol_phase_comp'))"
idaes/models/unit_models/mscontactor.py,1683,MSContactorData,initialize,MSContactorData.initialize,NotImplementedError('The MSContactor unit model does not support the old initialization API. Please use the new API (InitializerObjects) instead.')
idaes/models/unit_models/separator.py,1455,SeparatorData,add_momentum_splitting_constraints,SeparatorData.add_momentum_splitting_constraints,NotImplementedError(f'Separators do not yet support momentum balances of type {self.config.momentum_balance_type}')
idaes/models/unit_models/solid_liquid/sl_separator.py,327,SLSeparatorData,initialize,SLSeparatorData.initialize,NotImplementedError('The SLSeparator unit model does not support the old initialization API. Please use the new API (InitializerObjects) instead.')
